category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
forced_perspective,cmp_Escaping Criticism.jpg,v3,3,18900,143.16,0.0
forced_perspective,cmp_leaned_tower.jpg,orig,1,53392,119.51,0.0
forced_perspective,cmp_leaned_tower.jpg,v1,1,53392,143.56,0.0
forced_perspective,cmp_leaned_tower.jpg,v2,1,53392,161.91,0.0
forced_perspective,cmp_leaned_tower.jpg,v3,1,53392,156.14,0.0
forced_perspective,cmp_leaned_tower.jpg,orig,2,66144,118.08,1.43
forced_perspective,cmp_leaned_tower.jpg,v1,2,66144,138.28,5.28
forced_perspective,cmp_leaned_tower.jpg,v2,2,66144,154.5,7.41
forced_perspective,cmp_leaned_tower.jpg,v3,2,66144,133.68,22.46
forced_perspective,cmp_leaned_tower.jpg,orig,3,16500,125.45,0.0
forced_perspective,cmp_leaned_tower.jpg,v1,3,16500,33.78,0.0
forced_perspective,cmp_leaned_tower.jpg,v2,3,16500,84.4,0.0
forced_perspective,cmp_leaned_tower.jpg,v3,3,16500,93.91,0.0
forced_perspective,cmp_leaned_tower.jpg,orig,4,19500,122.65,2.8
forced_perspective,cmp_leaned_tower.jpg,v1,4,19500,36.44,2.66
forced_perspective,cmp_leaned_tower.jpg,v2,4,19500,84.18,0.22
forced_perspective,cmp_leaned_tower.jpg,v3,4,19500,86.86,7.05
forced_perspective,cmp_salar_uyuni.jpeg,orig,1,9243,132.38,0.0
forced_perspective,cmp_salar_uyuni.jpeg,v1,1,9243,20.07,0.0
forced_perspective,cmp_salar_uyuni.jpeg,v2,1,9243,28.28,0.0
forced_perspective,cmp_salar_uyuni.jpeg,v3,1,9243,188.09,0.0
forced_perspective,cmp_salar_uyuni.jpeg,orig,2,20241,64.65,67.73
forced_perspective,cmp_salar_uyuni.jpeg,v1,2,20241,69.78,49.71
forced_perspective,cmp_salar_uyuni.jpeg,v2,2,20241,72.43,44.15
forced_perspective,cmp_salar_uyuni.jpeg,v3,2,20241,205.67,17.58
---,CATEGORY: IMPOSSIBLE_OBJECTS,---,---,---,---,---
impossible_objects,cmp_blivet_trident.jpg,orig,1,17248,19.03,0.0
impossible_objects,cmp_blivet_trident.jpg,v1,1,17248,202.44,0.0
impossible_objects,cmp_blivet_trident.jpg,v2,1,17248,191.21,0.0
impossible_objects,cmp_blivet_trident.jpg,v3,1,17248,176.75,0.0
impossible_objects,cmp_blivet_trident.jpg,orig,2,15939,18.66,0.37
impossible_objects,cmp_blivet_trident.jpg,v1,2,15939,88.19,114.25
impossible_objects,cmp_blivet_trident.jpg,v2,2,15939,104.78,86.43
impossible_objects,cmp_blivet_trident.jpg,v3,2,15939,127.15,49.6
