category,image,model,roi_id,area_px,mean_intensity,gap_with_prev_roi
Depth ambiguity,cmp_schroeder_stairs_lantern.png,v2,1,2058,43.12,0.0
Depth ambiguity,cmp_schroeder_stairs_lantern.png,v3,1,2058,90.41,0.0
Depth ambiguity,cmp_schroeder_stairs_lantern.png,orig,2,1760,109.14,41.63
Depth ambiguity,cmp_schroeder_stairs_lantern.png,v1,2,1760,15.67,17.16
Depth ambiguity,cmp_schroeder_stairs_lantern.png,v2,2,1760,25.68,17.44
Depth ambiguity,cmp_schroeder_stairs_lantern.png,v3,2,1760,67.21,23.2
Depth ambiguity,cmp_schroeder_stairs_rotated.png,orig,1,2116,142.05,0.0
Depth ambiguity,cmp_schroeder_stairs_rotated.png,v1,1,2116,48.36,0.0
Depth ambiguity,cmp_schroeder_stairs_rotated.png,v2,1,2116,43.41,0.0
Depth ambiguity,cmp_schroeder_stairs_rotated.png,v3,1,2116,219.38,0.0
Depth ambiguity,cmp_schroeder_stairs_rotated.png,orig,2,1974,151.85,9.8
Depth ambiguity,cmp_schroeder_stairs_rotated.png,v1,2,1974,76.23,27.87
Depth ambiguity,cmp_schroeder_stairs_rotated.png,v2,2,1974,68.87,25.46
Depth ambiguity,cmp_schroeder_stairs_rotated.png,v3,2,1974,209.1,10.28
---,CATEGORY: FORCED PERSPECTIVE,---,---,---,---,---
Forced perspective,cmp_fake_block.png,orig,1,14464,34.49,0.0
Forced perspective,cmp_fake_block.png,v1,1,14464,26.43,0.0
Forced perspective,cmp_fake_block.png,v2,1,14464,35.64,0.0
Forced perspective,cmp_fake_block.png,v3,1,14464,86.65,0.0
Forced perspective,cmp_fake_block.png,orig,2,44084,109.29,74.8
Forced perspective,cmp_fake_block.png,v1,2,44084,21.18,5.25
Forced perspective,cmp_fake_block.png,v2,2,44084,17.04,18.6
Forced perspective,cmp_fake_block.png,v3,2,44084,57.4,29.25
Forced perspective,cmp_ladder.png,orig,1,702,136.37,0.0
Forced perspective,cmp_ladder.png,v1,1,702,77.16,0.0
Forced perspective,cmp_ladder.png,v2,1,702,94.94,0.0
Forced perspective,cmp_ladder.png,v3,1,702,154.78,0.0
Forced perspective,cmp_ladder.png,orig,2,5187,236.79,100.42
Forced perspective,cmp_ladder.png,v1,2,5187,77.77,0.61
Forced perspective,cmp_ladder.png,v2,2,5187,89.79,5.15
Forced perspective,cmp_ladder.png,v3,2,5187,159.51,4.73
---,CATEGORY: IMPOSSIBLE OBJECTS,---,---,---,---,---
Impossible objects,cmp_escher_waterfall.png,orig,1,3420,65.5,0.0
Impossible objects,cmp_escher_waterfall.png,v1,1,3420,112.99,0.0
Impossible objects,cmp_escher_waterfall.png,v2,1,3420,108.8,0.0
Impossible objects,cmp_escher_waterfall.png,v3,1,3420,187.62,0.0
Impossible objects,cmp_escher_waterfall.png,orig,2,2436,91.5,26.0
Impossible objects,cmp_escher_waterfall.png,v1,2,2436,83.34,29.65
Impossible objects,cmp_escher_waterfall.png,v2,2,2436,82.22,26.58
Impossible objects,cmp_escher_waterfall.png,v3,2,2436,153.06,34.56
Impossible objects,cmp_penrose_triangle.png,orig,1,726,170.22,0.0
Impossible objects,cmp_penrose_triangle.png,v1,1,726,107.05,0.0
Impossible objects,cmp_penrose_triangle.png,v2,1,726,107.06,0.0
Impossible objects,cmp_penrose_triangle.png,v3,1,726,186.4,0.0
Impossible objects,cmp_penrose_triangle.png,orig,2,2046,156.25,13.97
Impossible objects,cmp_penrose_triangle.png,v1,2,2046,137.39,30.34
Impossible objects,cmp_penrose_triangle.png,v2,2,2046,143.25,36.19
